fung,AI,isolate,code,DPI,trt,rate_ppm,rep,length_mm,width_mm
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,100,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,100,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,100,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,100,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,100,3,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,500,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,500,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,500,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,500,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,500,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,500,3,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,1000,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,1000,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,1000,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,1000,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,1000,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,1000,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,0,1,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0,2,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0,3,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0,1,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0,2,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0,3,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0.01,1,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0.01,2,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0.01,3,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.01,1,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.01,2,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.01,3,84,84
Omega,Fluazinam,GD-16-1,SB1,7,1,0.1,1,54.13,55.37
Omega,Fluazinam,GD-16-1,SB1,7,1,0.1,2,51.78,52.5
Omega,Fluazinam,GD-16-1,SB1,7,1,0.1,3,57.56,55.93
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.1,1,52.34,51.21
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.1,2,49.03,48.96
Omega,Fluazinam,LrwHC-1,SB15,7,1,0.1,3,45.14,45.26
Omega,Fluazinam,GD-16-1,SB1,7,1,1,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,1,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,1,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,1,1,1,22.97,22.22
Omega,Fluazinam,LrwHC-1,SB15,7,1,1,2,17.84,16.66
Omega,Fluazinam,LrwHC-1,SB15,7,1,1,3,19.53,18.15
Omega,Fluazinam,GD-16-1,SB1,7,1,10,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,10,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,10,3,13.7,13.33
Omega,Fluazinam,LrwHC-1,SB15,7,1,10,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,1,10,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,1,10,3,11.22,9.64
Omega,Fluazinam,GD-16-1,SB1,7,1,100,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,100,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,100,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,1,100,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,1,100,2,5.83,5
Omega,Fluazinam,LrwHC-1,SB15,7,1,100,3,13.94,14.6
Omega,Fluazinam,GD-16-1,SB1,7,1,500,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,500,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,1,500,3,0,0
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.01,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.01,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.01,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.01,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.01,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.01,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.1,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.1,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,0.1,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.1,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.1,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,0.1,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,10,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,10,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,10,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,10,1,76.96,79.44
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,10,2,78.74,79.56
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,10,3,80.11,80
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,100,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,100,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,100,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,100,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,100,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,100,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,500,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,500,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,500,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,500,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,500,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,500,3,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1000,1,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1000,2,84,84
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7,1,1000,3,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1000,1,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1000,2,84,84
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7,1,1000,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0,1,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0,2,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.01,1,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.01,2,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.01,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.1,1,71.52,68.1
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.1,2,83.35,80.49
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,0.1,3,79.65,83.39
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1,1,33.61,31.51
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1,2,26.34,25.59
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1,3,25.14,23.69
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,10,1,10.84,8.55
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,10,2,11.23,9.65
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,10,3,9.29,7.09
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,100,1,9.2,8.35
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,100,2,9.56,9.14
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,100,3,9.07,8.47
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,500,1,7.34,7.01
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,500,2,9.03,7.5
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,500,3,7.51,6.7
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1000,1,0,0
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1000,2,0,0
Fontelis,Penthiopyrad,GD-16-1,SB1,7,2,1000,3,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0,1,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0,2,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0,3,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.01,1,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.01,2,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.01,3,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.1,1,55.8,55.68
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.1,2,55.41,51.78
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,0.1,3,56.4,53.94
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1,1,14.04,13.33
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1,2,15.27,13.5
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1,3,14.47,13.15
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,10,1,6.74,6.1
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,10,2,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,10,3,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,100,1,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,100,2,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,100,3,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,500,1,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,500,2,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,500,3,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1000,1,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1000,2,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,2,1000,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,0,1,84,84
Omega,Fluazinam,GD-16-1,SB1,7,2,0,2,84,84
Omega,Fluazinam,GD-16-1,SB1,7,2,0,3,84,84
Omega,Fluazinam,GD-16-1,SB1,7,2,0.01,1,84,84
Omega,Fluazinam,GD-16-1,SB1,7,2,0.01,2,84,84
Omega,Fluazinam,GD-16-1,SB1,7,2,0.01,3,83.44,81.61
Omega,Fluazinam,GD-16-1,SB1,7,2,0.1,1,76.64,76.63
Omega,Fluazinam,GD-16-1,SB1,7,2,0.1,2,81.96,82
Omega,Fluazinam,GD-16-1,SB1,7,2,0.1,3,80.45,81.31
Omega,Fluazinam,GD-16-1,SB1,7,2,1,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,1,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,1,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,10,1,0,0
