fung,AI,isolate,code,date_measured,DPI,trt,rate_ppm,rep,length_mm,width_mm,avg_mm,area_mm
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,500,2,8.3,7.32,2.81,6.00996
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,500,3,9.77,7.24,3.505,8.387568
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1000,1,5,5,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1000,2,5,5,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1000,3,5,5,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1000,1,10.22,8.43,4.325,14.055111
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1000,2,9.51,9.35,4.43,15.4005225
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1000,3,6.26,6.62,1.44,1.602342
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0,1,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0,3,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0,1,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0,3,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.01,1,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.01,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.01,3,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.01,1,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.01,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.01,3,81.1,84,77.55,4719.3415
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.1,1,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.1,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,0.1,3,82.01,84,78.005,4775.77515
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.1,1,75.23,73.73,69.48,3789.122702
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.1,2,84,84,79,4899.185
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,0.1,3,81.39,76.96,74.175,4315.164154
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1,1,64.72,66.58,60.65,2886.882716
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1,2,60.26,58.04,54.15,2300.827464
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1,3,49.54,49.46,44.5,1554.494994
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1,1,39.33,32.97,31.15,753.7649285
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1,2,68.78,76.94,67.86,3601.841562
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1,3,60.33,51.85,51.09,2034.885243
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,10,1,42.61,40.76,36.685,1055.772876
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,10,2,35.5,35.16,30.33,722.1058
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,10,3,35.83,35.76,30.795,744.439678
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,10,1,32.42,32.37,27.395,589.131039
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,10,2,38.5,40.06,34.28,921.99035
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,10,3,44.08,47.54,40.81,1305.033612
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,100,1,23.25,23.35,18.3,262.8866875
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,100,2,23.46,23.27,18.365,264.752397
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,100,3,22.12,24.52,18.32,262.333184
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,100,1,43.89,44.38,39.135,1202.218237
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,100,2,42.17,44.68,38.425,1157.800896
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,100,3,41.82,40.19,36.005,1017.121203
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,500,1,23.88,23.22,18.55,270.034976
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,500,2,20.67,19.07,14.87,173.0743665
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,500,3,21.48,20.24,15.86,197.156832
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,500,1,25.71,25.21,20.46,328.5610435
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,500,2,25.31,21.56,18.435,264.021876
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,500,3,47.89,44.57,41.23,1332.268481
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1000,1,21.28,20.91,16.095,203.326618
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1000,2,16.1,13.66,9.88,75.45891
Cabrio,Pyraclostrobin,GD-16-1,SB1,8/11/2023,7,1,1000,3,6.82,7.95,2.385,4.214665
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1000,1,20.27,17.85,14.06,154.0323075
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1000,2,36.35,27.01,26.68,541.6605975
Cabrio,Pyraclostrobin,LrwHC-1,SB15,8/11/2023,7,1,1000,3,17.79,13.51,10.65,85.4416765
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0,1,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0,2,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0,3,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0,1,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0,2,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0,3,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.01,1,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.01,2,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.01,3,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.01,1,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.01,2,84,84,79,4899.185
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.01,3,84,84,79,4899.185
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.1,1,83.74,81.61,77.675,4735.333049
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.1,2,80,81.05,75.525,4477.44375
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,0.1,3,80.81,82.31,76.56,4600.783814
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.1,1,78.65,78.48,73.565,4248.26457
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.1,2,78.12,78.42,73.27,4214.249264
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,0.1,3,81.5,81.63,76.565,4601.823075
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1,1,51.6,44.83,43.215,1457.02123
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1,2,40.82,38.9,34.86,953.22393
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1,3,48.46,45.5,41.98,1381.70205
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1,1,44.28,43.38,38.83,1183.439624
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1,2,43.63,42.76,38.195,1145.055008
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1,3,40.15,40.29,35.22,973.7481475
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,10,1,11.92,11.63,6.775,36.015486
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,10,2,11.64,10.11,5.875,26.635364
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,10,3,11,9.83,5.415,22.7493
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,10,1,8.57,9.1,3.835,11.490045
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,10,2,9.28,9.22,4.25,14.178356
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,10,3,10.03,10.65,5.34,22.3093075
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,100,1,8.24,8.95,3.595,10.04643
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,100,2,9.07,8.13,3.6,10.0001935
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,100,3,7.3,5.87,1.585,1.570785
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,100,1,9.46,8.06,3.76,10.713366
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,100,2,9.1,7.78,3.44,8.94743
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,100,3,7.48,5.33,1.405,0.642444
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,500,1,6.73,6.35,1.54,1.8333675
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,500,2,7.38,5.34,1.36,0.635222
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,500,3,7.13,6.72,1.925,2.875926
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,500,1,6.88,7.82,2.35,4.161756
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,500,2,6.84,8.58,2.71,5.170952
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,500,3,9.57,8.44,4.005,12.340828
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1000,1,6.75,6.18,1.465,1.621025
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1000,2,9.12,6.26,2.69,4.075092
Fontelis,Penthiopyrad,GD-16-1,SB1,7/18/2023,7,1,1000,3,5.35,5.85,0.6,0.2335375
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1000,1,6.46,5.82,1.14,0.939802
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1000,2,7.5,5.31,1.405,0.608375
Fontelis,Penthiopyrad,LrwHC-1,SB15,7/18/2023,7,1,1000,3,5.4,5.95,0.675,0.2983
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0,1,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0,2,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0,3,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0,1,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0,2,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0,3,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.01,1,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.01,2,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.01,3,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.01,1,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.01,2,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.01,3,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.1,1,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.1,2,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,0.1,3,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.1,1,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.1,2,84,84,79,4899.185
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,0.1,3,84,84,79,4899.185
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1,1,27.14,17.92,17.53,224.548308
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1,2,21.54,23.87,17.705,245.006193
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1,3,26.9,25.64,21.27,354.83256
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1,1,41.77,34.79,33.28,859.8719655
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1,2,38.35,38.65,33.5,880.9485875
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1,3,27.02,24.73,20.875,341.046861
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,10,1,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,10,2,5.24,4.98,0.11,-0.003768
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,10,3,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,10,1,12.57,13.25,7.91,49.0252125
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,10,2,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,10,3,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,100,1,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,100,2,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,100,3,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,100,1,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,100,2,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,100,3,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,500,1,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,500,2,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,500,3,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,500,1,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,500,2,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,500,3,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1000,1,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1000,2,5,5,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,7/31/2023,7,1,1000,3,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1000,1,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1000,2,5,5,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,7/31/2023,7,1,1000,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0,1,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0,2,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0,3,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0,1,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0,2,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0,3,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.01,1,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.01,2,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.01,3,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.01,1,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.01,2,84,84,79,4899.185
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.01,3,84,84,79,4899.185
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.1,1,54.13,55.37,49.75,1942.622309
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.1,2,51.78,52.5,47.14,1744.30925
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,0.1,3,57.56,55.93,51.745,2101.351428
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.1,1,52.34,51.21,46.775,1717.251399
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.1,2,49.03,48.96,43.995,1519.413658
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,0.1,3,45.14,45.26,40.2,1268.588574
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1,1,22.97,22.22,17.595,242.913069
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1,2,17.84,16.66,12.25,117.525804
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1,3,19.53,18.15,13.84,149.9895575
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,10,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,10,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,10,3,13.7,13.33,8.515,56.889735
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,10,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,10,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,10,3,12.38,13.25,7.815,47.794725
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,100,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,100,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,100,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,100,1,13.95,12.89,8.42,55.4331675
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,100,2,13.5,13.1,8.3,54.04725
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,100,3,14.62,14.23,9.425,69.702191
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,500,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,500,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,500,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1000,1,8.79,7.53,3.16,7.5271295
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1000,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,7/7/2023,7,1,1000,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1000,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1000,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,7/7/2023,7,1,1000,3,5,5,0,0
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0,1,84,84,79,4899.185
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0,2,84,84,79,4899.185
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0,3,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0,1,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0,2,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0,3,84,84,79,4899.185
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0.01,1,84,84,79,4899.185
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0.01,2,84,84,79,4899.185
TopsinM,Thiophanate_methyl,GD-16-1,SB1,7/13/2023,7,1,0.01,3,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0.01,1,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0.01,2,84,84,79,4899.185
TopsinM,Thiophanate_methyl,LrwHC-1,SB15,7/13/2023,7,1,0.01,3,84,84,79,4899.185
