Fung.,A.I.,Isolate,Code,Date Plated,Date Measured,DPI,Rate (ppm),Rep,Length (mm),Width (mm)
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,500,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,500,3,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,1000,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,1000,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,1000,3,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0,1,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0,2,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0,3,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.01,1,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.01,2,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.01,3,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.1,1,54.13,55.37
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.1,2,51.78,52.5
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,0.1,3,57.56,55.93
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1,3,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,10,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,10,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,10,3,13.7,13.33
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,100,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,100,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,100,3,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,500,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,500,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,500,3,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1000,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1000,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-30,2023-07-07,7,1000,3,0,0
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0,1,29.85,29.41
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0,2,41.34,30.11
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0,3,39.29,29.04
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.01,1,76.47,84
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.01,2,76.83,75.22
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.01,3,81.27,79.97
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.1,1,50.7,47.7
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.1,2,53.01,51.2
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,0.1,3,42.36,42.18
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1,1,23.56,22.75
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1,2,22.65,20.88
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1,3,21.92,21.23
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,10,1,13.33,14.91
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,10,2,14.3,14.37
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,10,3,14.07,13.72
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,100,1,12.37,12.44
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,100,2,6.8,8.65
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,100,3,12.87,11.89
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,500,1,9.99,10.82
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,500,2,12.43,10.86
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,500,3,11.45,11.37
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1000,1,11.8,11.36
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1000,2,10.8,10.31
Omega,fluazinam,Gla18-38,SB11,2023-06-30,2023-07-07,7,1000,3,9.11,11.37
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0,1,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0,2,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0,3,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.01,1,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.01,2,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.01,3,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.1,1,52.34,51.21
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.1,2,49.03,48.96
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,0.1,3,45.14,45.26
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1,1,22.97,22.22
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1,2,17.84,16.66
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1,3,19.53,18.15
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,10,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,10,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,10,3,12.38,13.25
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,100,1,13.95,12.89
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,100,2,13.5,13.1
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,100,3,14.62,14.23
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,500,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,500,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,500,3,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1000,1,8.79,7.53
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1000,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-06-30,2023-07-07,7,1000,3,0,0
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0,3,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.01,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.01,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.01,3,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.1,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.1,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,0.1,3,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1,3,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,10,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,10,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,10,3,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,100,1,38.28,38.56
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,100,2,40.68,33.54
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,100,3,46.16,43.38
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,500,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,500,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,500,3,66.49,82.1
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1000,1,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1000,2,84,84
Topsin-M,Thiophanate-methyl,GD-16-1,SB1,2023-07-06,2023-07-13,7,1000,3,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0,1,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0,2,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0,3,82.84,79.39
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.01,1,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.01,2,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.01,3,78.92,82.36
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.1,1,82.12,83.41
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.1,2,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,0.1,3,77.43,77.02
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1,1,81.05,81
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1,2,79.8,79.91
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1,3,78.51,81.63
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,10,1,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,10,2,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,10,3,84,84
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,100,1,0,0
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,100,2,5.94,4.88
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,100,3,5.97,5.81
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,500,1,21.1,24.97
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,500,2,6.42,7.38
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,500,3,16.84,16.91
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1000,1,0,0
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1000,2,0,0
Topsin-M,Thiophanate-methyl,Gla18-38,SB11,2023-07-06,2023-07-13,7,1000,3,7.73,10.37
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0,3,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.01,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.01,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.01,3,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.1,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.1,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,0.1,3,50.84,39.68
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1,3,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,10,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,10,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,10,3,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,100,1,32.92,27.99
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,100,2,44.1,42.88
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,100,3,55.25,42.78
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,500,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,500,2,76.27,83.78
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,500,3,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1000,1,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1000,2,84,84
Topsin-M,Thiophanate-methyl,LrwHC-1,SB15,2023-07-06,2023-07-13,7,1000,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0,1,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0,2,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.01,1,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.01,2,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.01,3,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.1,1,83.74,81.61
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.1,2,80,81.05
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,0.1,3,80.81,82.31
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1,1,51.6,44.83
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1,2,40.82,38.9
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1,3,48.46,45.5
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,10,1,11.92,11.63
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,10,2,11.64,10.11
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,10,3,11,9.83
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,100,1,8.24,8.95
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,100,2,9.07,8.13
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,100,3,7.3,5.87
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,500,1,6.73,6.35
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,500,2,7.38,5.34
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,500,3,7.13,6.72
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1000,1,6.75,6.18
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1000,2,9.12,6.26
Fontelis,Penthiopyrad,GD-16-1,SB1,2023-07-11,2023-07-18,7,1000,3,5.35,5.85
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0,1,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0,2,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0,3,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.01,1,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.01,2,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.01,3,84,84
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.1,1,49.73,48.67
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.1,2,46.6,46.12
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,0.1,3,45.27,39.71
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1,1,6.49,6.14
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1,2,6.9,5.75
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1,3,6.66,7
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,10,1,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,10,2,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,10,3,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,100,1,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,100,2,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,100,3,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,500,1,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,500,2,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,500,3,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1000,1,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1000,2,0,0
Fontelis,Penthiopyrad,Gla18-38,SB11,2023-07-11,2023-07-18,7,1000,3,0,0
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0,1,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0,2,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0,3,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.01,1,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.01,2,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.01,3,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.1,1,78.65,78.48
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.1,2,78.12,78.42
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,0.1,3,81.5,81.63
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1,1,44.28,43.38
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1,2,43.63,42.76
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1,3,40.15,40.29
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,10,1,8.57,9.1
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,10,2,9.28,9.22
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,10,3,10.03,10.65
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,100,1,9.46,8.06
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,100,2,9.1,7.78
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,100,3,7.48,5.33
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,500,1,6.88,7.82
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,500,2,6.84,8.58
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,500,3,9.57,8.44
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1000,1,6.46,5.82
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1000,2,7.5,5.31
Fontelis,Penthiopyrad,LrwHC-1,SB15,2023-07-11,2023-07-18,7,1000,3,5.4,5.95
Omega,fluazinam,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,1,84,84
Omega,fluazinam,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,2,82.94,81.02
Omega,fluazinam,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,3,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,3,11.22,9.64
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,2,5.83,4.93
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,3,13.94,14.6
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,3,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,1,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,2,0,0
Omega,fluazinam,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,3,10.2,17.3
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.01,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.01,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.01,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.1,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.1,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,0.1,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1,2,84,84
